dFecha,ID,Target,cNivelEducacion,cNivelEducacion_label,NivelEducacion_grupo,cGenero,cGenero_label,nEdad,cEstadoCivil,cEstadoCivil_label,cRelaciónConJefe_Hogar,cRelaciónConJefe_Hogar_label,Distrito,Provincia,Departamento,nNumMienbrosHogar,cEstratoSocial,cEstratoSocial_label,cCondicionVivienda,cCondicionVivienda_label,nNumHabitaciones
2024-01-01,1,0,11,maestría/doctorado,superior,1,Hombre,45,5,separado(a),1,Jefe/Jefa,Chachapoyas,Chachapoyas,Amazonas,2,4,D,2,"Propia, totalmente pagada",4
2024-01-01,1,1,9,superior universitaria incompleta,superior,2,Mujer,19,6,soltero(a),3,Hijo(a)/Hijastro(a),Chachapoyas,Chachapoyas,Amazonas,2,4,D,2,"Propia, totalmente pagada",4
2024-01-01,2,1,8,superior no universitaria completa,superior,2,Mujer,39,5,separado(a),1,Jefe/Jefa,Chachapoyas,Chachapoyas,Amazonas,3,4,D,6,Cedida por otro hogar o institución,5
2024-01-01,2,1,9,superior universitaria incompleta,superior,2,Mujer,19,6,soltero(a),3,Hijo(a)/Hijastro(a),Chachapoyas,Chachapoyas,Amazonas,3,4,D,6,Cedida por otro hogar o institución,5
2024-01-01,3,1,5,secundaria incompleta,secundaria,1,Hombre,57,5,separado(a),1,Jefe/Jefa,Chachapoyas,Chachapoyas,Amazonas,1,4,D,1,Alquilada,1
2024-01-01,4,1,8,superior no universitaria completa,superior,1,Hombre,53,1,conviviente,1,Jefe/Jefa,Chachapoyas,Chachapoyas,Amazonas,2,4,D,6,Cedida por otro hogar o institución,1
2024-01-01,4,1,8,superior no universitaria completa,superior,2,Mujer,45,1,conviviente,2,Esposo(a)/compañero(a),Chachapoyas,Chachapoyas,Amazonas,2,4,D,6,Cedida por otro hogar o institución,1
2024-01-01,5,1,10,superior universitaria completa,superior,1,Hombre,30,1,conviviente,1,Jefe/Jefa,Chachapoyas,Chachapoyas,Amazonas,5,4,D,6,Cedida por otro hogar o institución,2
2024-01-01,5,1,6,secundaria completa,secundaria,2,Mujer,27,1,conviviente,2,Esposo(a)/compañero(a),Chachapoyas,Chachapoyas,Amazonas,5,4,D,6,Cedida por otro hogar o institución,2
2024-01-01,6,1,8,superior no universitaria completa,superior,1,Hombre,41,1,conviviente,1,Jefe/Jefa,Chachapoyas,Chachapoyas,Amazonas,4,4,D,6,Cedida por otro hogar o institución,1
