Perfil_latente,Pedidos_mensuales,Gasto_promedio,Tiempo_promedio_entrega,Variedad_productos,Gasto_mensual_aprox,Indice_experiencia_logistica,Region,Canal,Metodo_pago,Edad,Segmento_edad,Antiguedad_meses,Satisfaccion_1a5,Tuvo_devolucion,Nivel_fidelidad,Riesgo_churn,Suscripcion
Basico,4,9.292250412063629,65.68395088658048,1,37.169001648254515,0.01845379056274449,Provincia,Tienda,Transferencia,32,26-35,20,1,1,Plata,Alto,0
Basico,1,8.779344266486875,42.664671900700036,4,8.779344266486875,0.023524227078413482,Provincia,Tienda,Transferencia,40,36-50,1,1,1,Bronce,Alto,0
Basico,3,8.39572998746703,35.21531724658678,2,25.187189962401092,0.025596142069024788,Lima,Web,Billetera,25,18-25,14,3,0,Plata,Medio,0
Basico,3,10.884914367126465,36.73120999946736,3,32.654743101379395,0.033362772492290776,Provincia,Web,Billetera,34,26-35,20,1,1,Plata,Alto,0
Basico,1,5.508227064464066,61.84215248235704,1,5.508227064464066,0.020855570294167024,Provincia,Tienda,Efectivo,49,36-50,14,1,0,Bronce,Alto,0
Basico,2,13.842818730000182,38.93182730083928,4,27.685637460000365,0.02917667651310822,Lima,Tienda,Efectivo,38,36-50,9,1,1,Bronce,Alto,0
Basico,1,8.00373310561162,38.50036485250729,2,8.00373310561162,0.027791051492254387,Lima,Web,Billetera,22,18-25,12,2,1,Bronce,Alto,0
Basico,1,12.165710456314425,37.23633724432938,1,12.165710456314425,0.02541732805966336,Lima,Web,Transferencia,30,26-35,6,2,0,Bronce,Medio,0
Basico,2,6.190004207818372,50.143529684141164,1,12.380008415636745,0.020797778249535392,Provincia,Web,Billetera,36,36-50,9,1,1,Bronce,Alto,0
Basico,2,12.006520391638654,42.04680583053065,3,24.013040783277308,0.022288493375547756,Lima,Web,Billetera,34,26-35,7,1,1,Bronce,Alto,0
Basico,1,12.015833823443494,48.46995186025896,4,12.015833823443494,0.024868932982231678,Provincia,Tienda,Efectivo,23,18-25,3,1,1,Bronce,Alto,0
Basico,0,11.15260621601769,49.711136757621524,2,0.0,0.023506480325789867,Lima,Web,Tarjeta,34,26-35,22,1,1,Plata,Alto,0
Basico,4,7.016714434600623,43.00260360775053,4,28.066857738402494,0.026317125043094358,Lima,App,Tarjeta,25,18-25,19,1,1,Plata,Medio,0
Basico,2,10.748644568794232,40.737421963277306,3,21.497289137588464,0.02398181116923857,Lima,App,Tarjeta,23,18-25,9,2,1,Bronce,Medio,0
Basico,1,6.450831445796833,45.46667076186709,2,6.450831445796833,0.024174043214937862,Provincia,Tienda,Efectivo,36,36-50,10,1,1,Bronce,Alto,0
Basico,3,9.241710234711444,51.633802209926706,5,27.725130704134333,0.021813176933822214,Provincia,Web,Transferencia,44,36-50,3,1,0,Bronce,Alto,0
Basico,2,13.08823930286598,50.32517524932417,1,26.17647860573196,0.02181696453682407,Provincia,Web,Transferencia,24,18-25,14,1,1,Bronce,Alto,0
Basico,6,12.390105781212226,40.09871149850364,2,74.34063468727335,0.023004430677419176,Lima,App,Transferencia,31,26-35,9,1,1,Plata,Alto,1
Basico,1,10.0455488276213,42.32851339179713,2,10.0455488276213,0.02551784497570574,Lima,Web,Billetera,29,26-35,7,2,0,Bronce,Medio,0
Basico,1,7.075580272231474,41.64463680303905,1,7.075580272231474,0.02236680549170329,Lima,App,Tarjeta,32,26-35,13,1,0,Bronce,Alto,0
Basico,2,11.93676313652258,41.47210669928002,1,23.87352627304516,0.02466689962493781,Lima,Web,Billetera,31,26-35,11,1,1,Bronce,Medio,0
Basico,2,10.058143713094076,40.810084049445535,3,20.11628742618815,0.02809744225623236,Provincia,Web,Tarjeta,25,18-25,2,1,1,Bronce,Alto,0
